STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/2/2013,7.61,",,X",,,0,"T,,X,2400",0,"T,,X,",0,",,X,",,,40,",,X",31,",,X",,,310,",,X",300,",,X",13,",,X",19,",,X",,,,,,,,,,,1,",,W",,,,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/3/2013,7.61,",,X",,,0,"T,,X,2400",0,"T,,X,",0,",,X,",,,40,",,X",29,",,X",,,310,",,X",310,",,X",16.1,",,X",25.1,",,X",,,,,,,,,,,1,",,W",,,,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/4/2013,10.29,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,42,",,X",27,",,X",,,310,",,X",310,",,X",17.9,",,X",29.1,",,X",,,,,,,,,,,1,",,X",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/5/2013,7.16,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,49,",,X",31,",,X",,,310,",,X",310,",,X",15,",,X",25.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/6/2013,15.43,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,42,",,X",38,",,X",,,60,",,X",50,",,X",30,",,X",46.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/7/2013,10.07,",,X",,,0.19,",,X,2400",0,"T,,X,",0,",,X,",,,38,",,X",33,",,X",,,40,",,X",50,",,X",25.9,",,X",36.9,",,X",,,,,,,,,,,,,1,",,X",,,,,1,",,X",1,",,X",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/8/2013,7.61,",,X",,,0.54,",,X,2400",4,",,X,",2,",,X,",,,42,",,X",31,",,X",,,30,",,X",20,",,X",17,",,X",27.1,",,X",1,",,X",1,",,X",,,,,,,,,,,,,,,1,",,X",,,1,",,X"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/9/2013,6.04,",,X",,,0,",,X,2400",0,",,X,",2,",,X,",,,55,",,X",35,",,X",,,340,",,X",50,",,X",16.1,",,X",23,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/10/2013,4.7,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,50,",,X",36,",,X",,,160,",,X",170,",,X",13,",,X",16.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/11/2013,6.49,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,54,",,X",40,",,X",,,180,",,X",180,",,X",16.1,",,X",23.9,",,X",,,,,,,,,,,1,",,X",,,,,,,,,,,,
